"text","label"
"Please move my Math lecture (Group 3A2) from Room C101 to Room C205 on Monday at 09:00.","SOFT_ROOM_CHANGE"
"I want to switch my Physics laboratory for Group 1B3 from Room C202 to Room C303 on Thursday afternoon.","SOFT_ROOM_CHANGE"
"Change the assigned room for my Chemistry seminary from C310 to C410, no day/time provided.","SOFT_ROOM_CHANGE"
"Reschedule my English lecture for Group 3E1 from Room C111 to Room C112 on Tuesday at 14:00.","SOFT_ROOM_CHANGE"
"Could you relocate my Biology laboratory on Friday at 10:00 from C205 to C210, please?","SOFT_ROOM_CHANGE"
"Please switch my History seminary for Group 1B3 from room C312 to room C412 next Wednesday at 08:00.","SOFT_ROOM_CHANGE"
"Move my Math lecture from Room C101 to Room C201. It's on Monday at 11:00, Group 3A2.","SOFT_ROOM_CHANGE"
"Transfer my Physics seminary from C225 to C325 on Thursday 16:00 for Group 3E1.","SOFT_ROOM_CHANGE"
"Adjust my Chemistry lab from C305 to C405 on Friday at 09:00, Group 1B3 please.","SOFT_ROOM_CHANGE"
"Could you change my English lecture from Room C515 to C520 on Tuesday at 13:00?","SOFT_ROOM_CHANGE"
"Switch my Monday 10:00 Biology lecture from C111 to C222, Group 3A2.","SOFT_ROOM_CHANGE"
"Relocate my History seminary from C405 to C406 for Group 3E1 on Wednesday 14:00.","SOFT_ROOM_CHANGE"
"Please move my Physics lecture for Group 1B3 from C101 to C304 on Thursday at 15:00.","SOFT_ROOM_CHANGE"
"Change the assigned room for my Chemistry lab from C210 to C310 on Friday morning.","SOFT_ROOM_CHANGE"
"Switch my Monday 09:00 Math lecture for Group 3A2 from C101 to C201, no event detail provided.","SOFT_ROOM_CHANGE"
"Reassign my History lecture from C450 to C460 on Wednesday at 10:00 for Group 3E1.","SOFT_ROOM_CHANGE"
"Could you move my Biology lab from C118 to C128 on Tuesday 11:00?","SOFT_ROOM_CHANGE"
"Change the room for my English seminary (Group 1B3) from C510 to C610 on Thursday 14:00.","SOFT_ROOM_CHANGE"
"Switch my Physics lecture from room C205 to room C305 on Monday 16:00 for Group 3A2.","SOFT_ROOM_CHANGE"
"Reassign my Chemistry lab from C502 to C602, day/time not specified, Group 3E1.","SOFT_ROOM_CHANGE"
"Move my Tuesday 09:00 English lecture for Group 1B3 from C101 to C105.","SOFT_ROOM_CHANGE"
"Transfer my Biology seminary from C330 to C430 on Friday 10:00 for Group 3A2.","SOFT_ROOM_CHANGE"
"Could you change my Math laboratory from C222 to C333 on Wednesday 12:00?","SOFT_ROOM_CHANGE"
"Switch my Physics lecture from C101 to C202. It's on Monday at 08:00, Group 1B3.","SOFT_ROOM_CHANGE"
"Relocate my English seminary from C404 to C405, day/time not mentioned, Group 3E1.","SOFT_ROOM_CHANGE"
"Please move my Tuesday 14:00 Chemistry lecture from C209 to C309 for Group 3A2.","SOFT_ROOM_CHANGE"
"Change the assigned room for my History lab from C315 to C320 on Thursday 15:00, Group 3E1.","SOFT_ROOM_CHANGE"
"Switch my Math lecture from C001 to C002 on Monday at 09:00 for Group 1B3.","SOFT_ROOM_CHANGE"
"Relocate my Physics seminary from C111 to C211 on Friday 11:00, Group 3A2 please.","SOFT_ROOM_CHANGE"
"Could you transfer my Biology lab from C999 to C998 on Wednesday 13:00 for Group 3E1?","SOFT_ROOM_CHANGE"
"Switch my English lecture from C415 to C417 on Monday 10:00, Group 3A2.","SOFT_ROOM_CHANGE"
"Move my Tuesday 16:00 Chemistry laboratory from C123 to C124 for Group 1B3.","SOFT_ROOM_CHANGE"
"Please reassign my Math seminary from C210 to C310, no day/time, Group 3E1.","SOFT_ROOM_CHANGE"
"Change the assigned room from C888 to C889 for my Physics lecture on Monday at 14:00.","SOFT_ROOM_CHANGE"
"Switch my History seminary from C707 to C708 for Group 3A2 on Wednesday 09:00.","SOFT_ROOM_CHANGE"
"Could you relocate my Biology lab from C333 to C334? It's on Friday 08:00, Group 1B3.","SOFT_ROOM_CHANGE"
"Reassign my English lecture from C404 to C405, day/time missing, Group 3E1.","SOFT_ROOM_CHANGE"
"Please move my Monday 11:00 Math lecture from C101 to C301 for Group 3A2.","SOFT_ROOM_CHANGE"
"Change the assigned room for my Chemistry seminary from C212 to C313, Group 1B3, day/time unknown.","SOFT_ROOM_CHANGE"
"Switch my Physics lecture from C666 to C667 on Tuesday at 10:00, Group 3E1.","SOFT_ROOM_CHANGE"
"Relocate my English lab from C999 to C1000 on Monday 08:00 for Group 3A2.","SOFT_ROOM_CHANGE"
"Move my Wednesday 14:00 History lecture from C101 to C102, Group 1B3 please.","SOFT_ROOM_CHANGE"
"Could you change my Biology seminary from C010 to C011 on Friday 09:00 for Group 3E1?","SOFT_ROOM_CHANGE"
"Transfer my Physics lecture from C202 to C303, no day/time, Group 3A2.","SOFT_ROOM_CHANGE"
"Switch my Math lab from C330 to C331 on Tuesday 11:00 for Group 1B3.","SOFT_ROOM_CHANGE"
"Reassign my Chemistry lecture from C404 to C407 on Monday at 16:00, Group 3E1.","SOFT_ROOM_CHANGE"
"Please adjust my English seminary from C222 to C223 on Wednesday 10:00 for Group 3A2.","SOFT_ROOM_CHANGE"
"Change the assigned room from C515 to C520 for my Physics lecture, day/time unknown, Group 1B3.","SOFT_ROOM_CHANGE"
"Could you switch my Biology lab from C606 to C607 on Friday 14:00, Group 3E1?","SOFT_ROOM_CHANGE"

"I prefer to hold my English seminary in Room C310 for all my classes, no specific group mentioned.","SOFT_ROOM_PREFERENCE"
"Professor Smith wants to teach Chemistry in Room C102 for the lecture event.","SOFT_ROOM_PREFERENCE"
"I would rather have my Math lecture in Room C201 for Group 1B3, if possible.","SOFT_ROOM_PREFERENCE"
"Could I conduct my Physics laboratory in Room C405 on Wednesday afternoons?","SOFT_ROOM_PREFERENCE"
"Please schedule my History seminary in Room C555. No day or group provided.","SOFT_ROOM_PREFERENCE"
"I'd love to hold my Biology lecture in room C123, day/time doesn't matter.","SOFT_ROOM_PREFERENCE"
"Assign me to Room C777 for all English events, no group specifics.","SOFT_ROOM_PREFERENCE"
"I prefer having my Chemistry labs in Room C210, especially for Group 3A2.","SOFT_ROOM_PREFERENCE"
"Could you always put my Math seminary in Room C313, no time restriction?","SOFT_ROOM_PREFERENCE"
"My ideal location for Physics lectures is Room C414, day/time not set yet.","SOFT_ROOM_PREFERENCE"
"Keep my English classes in C101. I'm a professor with ID Prof6789, no group info.","SOFT_ROOM_PREFERENCE"
"I want to use Room C222 for all my Biology lectures, no matter the group.","SOFT_ROOM_PREFERENCE"
"For Group 3E1, I'd like the Math lecture in Room C305 if possible.","SOFT_ROOM_PREFERENCE"
"Let me teach Chemistry in Room C404, ignoring time, I'd appreciate it.","SOFT_ROOM_PREFERENCE"
"Professor ID ProfABC wants to hold all Physics events in Room C505.","SOFT_ROOM_PREFERENCE"
"I strongly prefer Room C606 for my History seminary, even if day/time changes.","SOFT_ROOM_PREFERENCE"
"I want to keep my Friday English lecture in Room C101, no group specified.","SOFT_ROOM_PREFERENCE"
"Could we assign Room C707 for all my Math labs? I'm open on Tuesday.","SOFT_ROOM_PREFERENCE"
"Room C808 is best for my Physics lecture, but I have no group name yet.","SOFT_ROOM_PREFERENCE"
"For the Biology seminary, I'd love to use Room C900 for Group 3A2.","SOFT_ROOM_PREFERENCE"
"I prefer Chemistry labs in Room C101, day/time are flexible.","SOFT_ROOM_PREFERENCE"
"Keep my English seminary in C202 if possible, no day/time mention.","SOFT_ROOM_PREFERENCE"
"I need to be placed in Room C303 for the Math lecture of Group 1B3, if feasible.","SOFT_ROOM_PREFERENCE"
"Could you set my Physics lab in Room C505 for Group 3E1?","SOFT_ROOM_PREFERENCE"
"Please schedule my Chemistry events in Room C009, no group or day specified.","SOFT_ROOM_PREFERENCE"
